,model,C rate,resolution [um],tolerance,thickness [um],area [cm^2],mass loading [mg/cm^2],applied current [mA],discharge time [s],integral of cell potential [Vs],max capacity [mAh/cm^2],areal capacity [mAh/cm^2]
6,NTC-480,0.5,2,0.0001,250.0,0.7084,30.388,1.8246,6671.7,10283.0,4.8709,4.7733
7,NTC-480,1.0,2,0.0001,250.0,0.7084,30.388,3.6493,3189.6,4760.7,4.8709,4.5642
8,NTC-480,2.0,2,0.0001,250.0,0.7084,30.388,7.2986,1010.5,1708.6,4.8709,2.892
9,NTC-480,3.0,2,0.0001,250.0,0.7084,30.388,10.9479,345.9,567.2,4.8709,1.4849
10,NTC-480,4.0,2,0.0001,250.0,0.7084,30.388,14.5972,94.184,149.6,4.8709,0.5391
11,NTC-480,5.0,2,0.0001,250.0,0.7084,30.388,18.2465,23.695999999999998,36.3,4.8709,0.1695
12,NTC-480,6.0,2,0.0001,250.0,0.7084,30.388,21.8958,7.6811,11.4,4.8709,0.0659
13,NTC-480,7.0,2,0.0001,250.0,0.7084,30.388,25.5451,3.1139,4.5,4.8709,0.0312
14,NTC-480,8.0,2,0.0001,250.0,0.7084,30.388,29.1944,1.5419999999999998,3.5,4.8709,0.0177
15,NTC-480,0.5,2,0.0001,100.0,0.7084,12.1552,0.7298399999999999,6711.0,8408.7,4.8709,1.9206
16,NTC-480,0.5,2,0.0001,200.0,0.7084,24.3104,1.4596799999999999,6681.0,8195.8,4.8709,3.824
17,NTC-480,0.5,2,0.0001,300.0,0.7084,36.4656,2.18952,6638.7,7822.0,4.8709,5.6997
18,NTC-480,0.5,2,0.0001,400.0,0.7084,48.6208,2.9193599999999997,5838.3,7241.6,4.8709,6.6833
19,NTC-480,0.5,2,0.0001,500.0,0.7084,60.776,3.6492,4484.8,6049.5,4.8709,6.4174
20,NTC-480,0.5,2,0.0001,600.0,0.7084,72.9312,4.37904,3122.9,4218.5,4.8709,5.3624
21,NTC-480,1.0,2,0.0001,100.0,0.7084,12.1552,1.4596799999999999,3122.9,4218.5,4.8709,0.0
